1000-TURN LATENCY TEST RESULTS
================================================================================

User ID: latency_test_user
Total Time: 574.59 seconds
Total Memories: 40

PROCESSING LATENCIES - Extract + Store (ms):
Mean: 574.57
Median: 349.74
P95: 1333.14
P99: 1681.41

RETRIEVAL LATENCIES - Search + Rank (ms):
Mean: 293.90
Median: 296.07
P95: 378.58
P99: 426.19

DETAILED TURN DATA:
Turn     Process (ms)    Retrieve (ms)  
345      263.63          262.63         
346      263.76          263.76         
347      297.97          297.97         
348      342.08          299.06         
349      387.35          286.17         
350      539.72          317.99         
351      336.15          293.19         
352      373.35          298.45         
353      1063.61         291.86         
354      330.74          329.63         
355      269.72          268.62         
356      276.16          276.16         
357      265.95          262.94         
358      1529.54         310.35         
359      215.80          214.80         
360      274.99          193.51         
361      237.84          198.00         
362      275.16          208.58         
363      1218.19         245.22         
364      937.05          230.97         
365      222.80          222.80         
366      233.96          233.96         
367      210.21          208.29         
368      273.24          248.48         
369      568.76          225.55         
370      979.16          267.96         
371      261.21          226.98         
372      218.56          217.44         
373      847.45          251.80         
374      231.88          229.90         
375      895.29          256.74         
376      246.09          244.51         
377      860.12          243.50         
378      300.37          279.48         
379      252.71          251.62         
380      402.25          265.24         
381      271.20          238.28         
382      1550.75         354.26         
383      907.71          279.03         
384      867.53          294.68         
385      277.26          276.75         
386      260.37          256.63         
387      262.96          262.96         
388      346.17          310.44         
389      442.44          351.18         
390      550.48          299.68         
391      313.89          291.94         
392      1066.93         301.65         
393      1059.81         297.49         
394      300.02          298.96         
395      277.57          275.98         
396      300.46          298.45         
397      278.46          277.48         
398      393.57          359.94         
399      283.56          282.51         
400      314.47          293.33         
401      326.16          284.95         
402      553.05          333.13         
403      1289.53         290.83         
404      801.55          314.93         
405      286.44          285.42         
406      287.14          286.08         
407      320.54          319.33         
408      1543.36         314.86         
409      549.86          288.52         
410      934.12          318.85         
411      341.72          294.12         
412      410.05          302.41         
413      1117.15         287.63         
414      307.51          306.48         
415      1233.46         312.74         
416      295.38          294.35         
417      285.75          284.24         
418      351.99          329.58         
419      345.17          345.17         
420      434.56          291.23         
421      313.89          274.42         
422      338.47          312.04         
423      1145.28         301.03         
424      1198.66         383.54         
425      292.46          291.10         
426      317.93          316.99         
427      297.23          296.23         
428      334.55          313.18         
429      412.40          291.63         
430      578.39          291.12         
431      342.07          299.27         
432      311.78          311.78         
433      1064.44         290.66         
434      314.26          313.26         
435      265.35          264.29         
436      279.14          277.42         
437      854.17          289.28         
438      376.51          348.64         
439      311.57          310.56         
440      334.81          294.39         
441      301.75          280.60         
442      1043.73         338.13         
443      975.23          296.73         
444      710.06          341.64         
445      399.57          397.57         
446      310.47          309.43         
447      303.15          303.15         
448      392.59          344.81         
449      569.88          318.10         
450      935.96          303.29         
451      344.21          313.25         
452      1299.16         329.43         
453      1003.81         299.92         
454      292.23          292.23         
455      934.25          336.05         
456      291.61          290.41         
457      296.42          296.42         
458      1521.59         305.71         
459      338.70          338.16         
460      607.57          351.68         
461      429.98          395.13         
462      631.87          288.80         
463      1222.12         300.26         
464      1209.48         331.31         
465      278.44          277.15         
466      309.93          309.93         
467      297.34          296.33         
468      351.16          327.45         
